"Table 1: Estimated population by age and sex, Scotland, mid-2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age,Persons,Males,Females,,Age,Persons,Males,Females,,Age,Persons,Males,Females,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All ages,"5,438,100","2,648,751","2,789,349",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"52,310","26,832","25,478",,30,"75,210","37,276","37,934",,60,"71,830","34,827","37,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"53,852","27,811","26,041",,31,"72,799","35,819","36,980",,61,"69,664","33,894","35,770",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"56,084","29,032","27,052",,32,"72,184","35,819","36,365",,62,"67,359","32,738","34,621",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"57,065","29,296","27,769",,33,"71,623","35,044","36,579",,63,"64,232","31,050","33,182",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"57,551","29,608","27,943",,34,"69,442","33,983","35,459",,64,"63,221","30,734","32,487",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0 - 4,"276,862","142,579","134,283",, 30 - 34,"361,258","177,941","183,317",, 60 - 64,"336,306","163,243","173,063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"58,712","30,015","28,697",,35,"70,265","34,304","35,961",,65,"61,710","29,878","31,832",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"60,252","31,003","29,249",,36,"71,110","34,613","36,497",,66,"59,315","28,670","30,645",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"62,094","31,760","30,334",,37,"70,470","34,557","35,913",,67,"59,478","28,628","30,850",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"59,207","30,122","29,085",,38,"69,208","34,016","35,192",,68,"59,481","28,748","30,733",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"60,824","30,946","29,878",,39,"66,944","33,259","33,685",,69,"60,429","29,090","31,339",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 - 9,"301,089","153,846","147,243",, 35 - 39,"347,997","170,749","177,248",, 65 - 69,"300,413","145,014","155,399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"60,578","30,815","29,763",,40,"62,120","30,305","31,815",,70,"61,782","29,649","32,133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"58,240","29,788","28,452",,41,"60,952","30,240","30,712",,71,"66,483","31,649","34,834",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"57,028","29,050","27,978",,42,"64,225","31,456","32,769",,72,"49,554","23,530","26,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"56,549","29,105","27,444",,43,"64,595","31,362","33,233",,73,"46,406","21,656","24,750",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"55,395","28,508","26,887",,44,"65,630","32,212","33,418",,74,"46,740","21,871","24,869",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 - 14,"287,790","147,266","140,524",,40 - 44,"317,522","155,575","161,947",, 70 - 74,"270,965","128,355","142,610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"53,761","27,445","26,316",,45,"69,643","34,047","35,596",,75,"44,032","20,050","23,982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"53,470","27,290","26,180",,46,"73,805","35,633","38,172",,76,"39,818","17,826","21,992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
