"Table 10: Births and deaths at mid-year, Scotland, mid-2008 to mid-2018",,,,,,,,,
,,,,,,,,,
"Year to 
30 June",Births,Deaths,"Natural change 
(births minus deaths)",,,,,,
2008,"59,240","55,293","3,947",,,,,,
2009,"59,331","54,746","4,585",,,,,,
2010,"58,937","53,749","5,188",,,,,,
2011,"58,766","53,957","4,809",,,,,,
2012,"58,458","54,235","4,223",,,,,,
2013,"56,843","55,934",909,,,,,,
2014,"56,101","52,584","3,517",,,,,,
2015,"55,809","57,841","-2,032",,,,,,
2016,"55,256","56,077",-821,,,,,,
2017,"53,436","57,246","-3,810",,,,,,
2018,"52,248","59,911","-7,663",,,,,,
,,,,,,,,,
Notes,,,,,,,,,
"Counts of births and deaths at mid-year feed into the population estimates. They are based on provisional data before vital events data is finalised for the year, however it is unlikely there has been much change between the provisional and final counts. ",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"For time series tables of births and deaths by calendar year, please visit the Vital Events section of the NRS website.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
© Crown Copyright 2019,,,,,,,,,
