"Table 3: Estimated population by sex, five year age group and administrative area, mid-2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persons,,,,Age group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area code,Area1,All Ages,,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S92000003,Scotland,"5,438,100",,"276,862","301,089","287,790","284,564","350,624","382,340","361,258","347,997","317,522","374,287","404,687","386,660","336,306","300,413","270,965","191,102","140,258","81,449","41,927",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Council areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000033,Aberdeen City,"227,560",,"11,751","11,517","9,824","10,473","18,625","23,442","20,494","17,386","13,779","14,090","14,314","13,989","12,344","10,483","8,814","6,468","5,088","3,122","1,557",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000034,Aberdeenshire,"261,470",,"14,564","16,216","15,372","13,752","12,689","13,249","15,249","17,134","17,051","19,913","20,421","18,943","17,118","15,313","13,493","9,098","6,329","3,611","1,955",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000041,Angus,"116,040",,"5,552","6,198","6,257","6,135","6,091","5,876","6,190","6,635","6,354","8,057","8,787","8,881","7,739","7,748","7,367","5,020","3,692","2,210","1,251",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000035,Argyll and Bute,"86,260",,"3,610","4,256","4,337","4,365","4,832","4,173","3,824","4,251","4,560","5,744","6,895","7,001","6,452","6,351","5,973","4,180","2,962","1,686",808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000036,City of Edinburgh,"518,500",,"25,309","26,334","22,777","24,496","44,660","55,449","47,941","40,325","32,879","32,231","32,249","30,171","25,619","22,498","19,571","13,692","11,108","7,138","4,053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
