"Table 5: Components of migration by administrative area, mid-2017 to mid-2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area code,Area2,,In-migration1,,,,,Out-migration1,,,,,Net-migration1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total3,Within Scotland,Rest of UK,Overseas,,Total3,Within Scotland,Rest of UK,Overseas,,Total,Within Scotland,Rest of UK,Overseas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, UK,Overseas,,,, UK,Overseas,,,, UK,Overseas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S92000003,Scotland,,"80,600",n/a,"47,700","32,900",,"59,700",n/a,"37,700","22,000",,"20,900",0,"10,000","10,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Council areas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000033,Aberdeen City,,"10,680","5,930","1,780","2,980",,"12,000","7,780","2,430","1,800",,"-1,320","-1,850",-650,"1,180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000034,Aberdeenshire,,"7,130","5,300","1,230",600,,"7,730","5,610","1,480",640,,-600,-310,-250,-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000041,Angus,,"3,890","3,050",620,220,,"3,690","2,840",590,270,,200,210,40,-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000035,Argyll and Bute,,"4,130","2,190","1,640",300,,"4,210","2,750","1,030",440,,-80,-560,610,-130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000036,City of Edinburgh,,"30,720","11,530","10,200","9,000",,"26,100","14,020","7,390","4,690",,"4,620","-2,490","2,810","4,310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000005,Clackmannanshire,,"1,730","1,310",320,110,,"1,760","1,370",260,140,,-30,-60,50,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000006,Dumfries and Galloway,,"4,020","1,640","2,120",260,,"3,630","1,870","1,330",440,,380,-230,800,-180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000042,Dundee City,,"6,920","4,240","1,370","1,320",,"6,570","4,700","1,120",750,,350,-460,250,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000008,East Ayrshire,,"3,410","2,690",610,110,,"3,180","2,480",480,210,,230,200,130,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000045,East Dunbartonshire,,"3,980","3,370",500,100,,"3,610","2,880",480,240,,370,490,20,-140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000010,East Lothian,,"4,500","3,380",700,420,,"3,350","2,510",590,250,,"1,150",870,110,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S12000011,East Renfrewshire,,"3,790","3,300",390,100,,"3,270","2,670",420,180,,520,630,-30,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
